section	opener_template	total_occurrences	paper_count	top_papers
results	these observations suggest that the	3	3	10.1038/s41467-025-58471-5;10.1038/s41467-025-64596-4;10.1038/s42005-023-01169-1
results	both the control and target	3	2	10.1038/s41467-026-71292-4;10.1038/s41377-025-02019-1
results	this enhancement is attributed to	3	3	10.1038/s41467-025-63209-4;10.1038/s41467-026-71949-0;10.1038/s43246-024-00645-7
results	the device structure of the	3	3	10.1038/s41467-020-14747-6;10.1038/s41467-025-66421-4;10.1038/s41566-024-01458-3
results	as a result of the	3	3	10.1038/s41467-022-31853-9;10.1038/s41467-024-55812-8;10.1038/s41467-025-64596-4
results	the scanning electron microscope sem	3	3	10.1038/s41377-026-02231-7;10.1038/s41467-023-36118-7;10.1038/s41467-025-56557-8
results	this could be due to	3	2	10.1038/s41467-022-32010-y;10.1038/s41467-018-02978-7
results	we attribute this to the	3	3	10.1038/s41467-018-06425-5;10.1038/s41467-023-40746-4;10.1038/s41928-024-01205-0
results	as illustrated in fig. 3a	3	3	10.1038/s41377-026-02237-1;10.1038/s41467-025-64596-4;10.1038/s41467-026-72625-z
results	full size image a –	3	2	10.1038/s41467-024-55619-7;10.1038/s41928-024-01181-5
discussion	in summary we have developed	3	3	10.1038/s41377-025-02019-1;10.1038/s41467-021-24616-5;10.1038/s41467-024-47891-4
results	as illustrated in supplementary fig.	3	3	10.1038/s41467-024-47891-4;10.1038/s41467-025-56068-6;10.1038/s41467-025-63389-z
results	figure 1b shows the cross-sectional	3	3	10.1038/s41467-019-08561-y;10.1038/s41467-023-36773-w;10.1038/s41467-023-40194-0
results	for the 40 μm device	3	1	10.1038/s41467-026-74151-4
results	due to the presence of	3	2	10.1038/s41467-024-52521-0;10.1038/s41377-025-01835-9
results	at the same time the	3	3	10.1038/s41467-023-38216-y;10.1038/s41467-024-44894-z;10.1038/s41467-024-53221-5
results	it is known that in	3	3	10.1038/s41467-018-05760-x;10.1038/s41467-020-14756-5;10.1038/s41467-024-52208-6
results	previous studies have shown that	3	3	10.1038/s41467-023-40746-4;10.1038/s41467-024-54160-x;10.1038/s41467-025-57304-9
results	as shown in fig. 2h	3	3	10.1038/s41377-025-01959-y;10.1038/s41467-025-64596-4;10.1038/s41928-024-01181-5
results	the perovskite film deposited on	3	2	10.1038/s41467-026-71301-6;10.1038/s41467-018-07099-9
results	it has been established that	3	3	10.1038/s41467-019-09737-2;10.1038/s41467-023-38216-y;10.1038/s43246-026-01177-y
results	this is evidenced by the	3	2	10.1038/s41467-025-59515-6;10.1038/s41377-025-01817-x
results	we can see that when	3	2	10.1038/s43246-026-01177-y;10.1038/s41467-025-67347-7
results	this result indicated that the	3	1	10.1038/s41467-024-55653-5
results	as the applied voltage increases	3	3	10.1038/s41467-023-40150-y;10.1038/s41467-024-44894-z;10.1038/s41467-025-57304-9
results	the results showed that the	3	3	10.1038/s41377-025-02019-1;10.1038/s41467-021-24931-x;10.1038/s41467-026-72115-2
results	in order to verify the	3	3	10.1038/s41467-019-13909-5;10.1038/s41467-021-22864-z;10.1038/s41467-023-36773-w
results	as shown in fig. 3g	3	3	10.1038/s41377-025-01959-y;10.1038/s41467-024-47184-w;10.1038/s41467-026-72625-z
results	it could be seen that	3	1	10.1038/s41467-020-17633-3
results	in contrast the regulated film	3	1	10.1038/s41467-026-72625-z
results	to investigate the impact of	3	3	10.1038/s41467-023-41929-9;10.1038/s41467-024-51760-5;10.1038/s41467-025-62345-1
results	it is noteworthy that the	3	3	10.1038/s41377-024-01500-7;10.1038/s41467-019-13909-5;10.1038/s41467-024-55812-8
results	to verify the effect of	3	3	10.1038/s41377-024-01727-4;10.1038/s41467-023-35954-x;10.1038/s41467-024-55653-5
results	as shown in fig. 3f	3	3	10.1038/s41377-025-01867-1;10.1038/s41377-025-01959-y;10.1038/s41377-025-01972-1
results	figure 3a shows the transfer	3	3	10.1038/s41467-023-41868-5;10.1038/s41467-025-67347-7;10.1038/s41928-024-01205-0
results	it can be clearly seen	3	3	10.1038/s41467-019-08561-y;10.1038/s41467-024-46243-6;10.1038/s41467-026-73911-6
results	in our previous work we	3	2	10.1038/s41467-024-50508-5;10.1038/s41467-025-56068-6
results	as illustrated in fig. 1b	3	3	10.1038/s41377-026-02231-7;10.1038/s41377-026-02246-0;10.1038/s41467-025-56068-6
results	the scanning electron microscopy sem	3	3	10.1038/s41467-023-40150-y;10.1038/s41467-025-56001-x;10.1038/s41467-025-62345-1
results	it needs to be pointed	3	2	10.1038/s41467-019-13909-5;10.1038/s41467-025-56068-6
results	the pl lifetimes of the	3	3	10.1038/s41467-023-41929-9;10.1038/s41467-024-55653-5;10.1038/s41563-025-02123-y
results	for both driver and load	3	1	10.1038/s41928-024-01205-0
results	the exciton binding energy eb	3	3	10.1038/s41377-025-01740-1;10.1038/s41377-026-02247-z;10.1038/s41467-025-61085-6
results	to further understand the effect	3	3	10.1038/s41377-022-00855-z;10.1038/s41377-026-02237-1;10.1038/s41467-024-55619-7
results	it is observed that the	3	3	10.1038/s41467-024-45945-1;10.1038/s41467-025-67347-7;10.1038/s41467-026-71292-4
results	the absorption and photoluminescence pl	3	3	10.1038/s41377-025-01740-1;10.1038/s41467-025-64696-1;10.1038/s43246-026-01136-7
results	it is interesting to note	3	2	10.1038/s41467-018-06425-5;10.1038/s41467-020-14756-5
results	for the as-deposited films fig.	3	1	10.1038/s41467-022-28480-9
results	to investigate the effects of	3	3	10.1038/s41377-024-01500-7;10.1038/s41467-025-57304-9;10.1038/s41467-026-68315-5
results	this is supported by the	3	2	10.1038/s41467-024-55619-7;10.1038/s41467-024-53221-5
results	in contrast the incorporation of	3	2	10.1038/s41467-024-51760-5;10.1038/s41467-025-64546-0
results	as shown in fig. 3e	3	3	10.1038/s41377-025-02000-y;10.1038/s41467-025-57746-1;10.1038/s41467-025-63389-z
results	the x1 and x2 transitions	3	1	10.1038/s42005-023-01169-1
results	the energy levels of the	3	3	10.1038/s41377-026-02247-z;10.1038/s41467-021-24616-5;10.1038/s41467-026-71292-4
results	in the absence of top	3	1	10.1038/s43246-026-01136-7
results	it can be found that	3	2	10.1038/s41377-025-01768-3;10.1038/s41467-020-17633-3
results	therefore it can be seen	3	2	10.1038/s43246-024-00645-7;10.1038/s41467-025-64696-1
results	fourier transform infrared ftir spectroscopy	3	3	10.1038/s41377-025-01867-1;10.1038/s41377-026-02237-1;10.1038/s41467-024-47184-w
results	as shown in fig. 5i	3	3	10.1038/s41377-025-01959-y;10.1038/s41467-020-20433-4;10.1038/s41467-025-63653-2
results	after the improvement when the	3	1	10.1038/s43246-026-01177-y
results	this indicates that the modification	3	1	10.1038/s41467-025-63389-z
results	on the one hand the	3	3	10.1038/s41377-025-01817-x;10.1038/s41377-025-01972-1;10.1038/s41467-025-67347-7
results	scanning electron microscopy sem images	3	3	10.1038/s41467-019-13437-2;10.1038/s41467-025-59527-2;10.1038/s41467-026-74151-4
results	we also found that the	3	3	10.1038/s41467-021-22864-z;10.1038/s41467-025-56987-4;10.1038/s41467-025-57200-2
results	the results indicated that the	3	1	10.1038/s41467-024-55653-5
results	as shown in fig. 1d	3	3	10.1038/s41377-025-01740-1;10.1038/s41467-022-28037-w;10.1038/s41467-023-40194-0
results	as shown in fig. 1e	3	3	10.1038/s41377-024-01704-x;10.1038/s41467-022-28037-w;10.1038/s41467-024-49574-6
results	in order to examine the	3	3	10.1038/s41467-018-05760-x;10.1038/s41467-020-14747-6;10.1038/s41467-021-20970-6
results	in summary we have demonstrated	2	2	10.1038/s41467-021-24931-x;10.1038/s41467-026-70555-4
results	the highest occupied molecular orbital	2	2	10.1038/s41467-025-67737-x;10.1038/s41467-026-71301-6
results	this might be attributed to	2	1	10.1038/s41467-025-59515-6
results	in the positive driving cycles	2	1	10.1038/s41467-024-47891-4
results	on the other hand after	2	2	10.1038/s41467-022-28480-9;10.1038/s41467-025-63653-2
results	a logarithmic j-v characteristic of	2	1	10.1038/s41467-023-36773-w
results	the trap state density of	2	2	10.1038/s41377-026-02247-z;10.1038/s41467-025-56001-x
discussion	as shown in supplementary fig.	2	2	10.1038/s41467-020-14747-6;10.1038/s41467-022-29702-w
results	in contrast the tdfa sample	2	1	10.1038/s41467-025-65871-0
results	to gain further insights into	2	2	10.1038/s41467-018-05909-8;10.1038/s41467-021-24616-5
results	the ne of the in₂o₃:h	2	1	10.1038/s41467-022-28480-9
results	the contact potential difference cpd	2	2	10.1038/s41467-024-51760-5;10.1038/s41467-025-59515-6
results	however it is worth noting	2	2	10.1038/s41467-024-52401-7;10.1038/s41467-024-55376-7
results	the target device exhibited a	2	2	10.1038/s41377-026-02247-z;10.1038/s41467-026-72115-2
results	the qleds using the as-synthesized	2	1	10.1038/s41467-020-14756-5
results	the transient absorption spectra of	2	2	10.1038/s41377-022-00992-5;10.1038/s41467-019-12558-y
results	however due to the presence	2	2	10.1038/s41467-024-52521-0;10.1038/s41467-026-70555-4
results	a similar trend was also	2	2	10.1038/s41377-025-01959-y;10.1038/s41467-025-59515-6
results	in summary we have developed	2	2	10.1038/s41467-025-56068-6;10.1038/s41467-026-75756-5
results	the 150 °c deposited zno	2	1	10.1038/s41467-023-41868-5
results	device based on chiral pqds	2	1	10.1038/s41467-025-57472-8
discussion	by simultaneously measuring the el	2	2	10.1038/s41467-018-03049-7;10.1038/s41467-024-52521-0
results	the fast fourier transform fft	2	2	10.1038/s41467-023-40746-4;10.1038/s41467-025-61085-6
results	the current density-voltage-luminance j-v-l characteristics	2	2	10.1038/s41467-024-52401-7;10.1038/s41467-025-57304-9
results	the pec performance of the	2	1	10.1038/s41467-024-50893-x
results	all blinking traces were built	2	1	10.1038/s41467-024-55619-7
results	the corresponding emission spectra are	2	2	10.1038/s41467-020-16659-x;10.1038/s41467-025-56987-4
results	the wch and lch of	2	1	10.1038/s41467-023-41868-5
results	this may be due to	2	2	10.1038/s41467-018-05909-8;10.1038/s41467-023-36773-w
results	the el spectrum of cdse/zns	2	1	10.1038/s41377-026-02246-0
results	this reduction in leakage current	2	2	10.1038/s41467-024-54160-x;10.1038/s41467-026-72625-z
results	the average voltage gain of	2	1	10.1038/s41467-025-57200-2
results	in contrast the perovskite film	2	2	10.1038/s41467-025-56001-x;10.1038/s43246-024-00576-3
results	the average pl decay lifetime	2	2	10.1038/s41467-024-49751-7;10.1038/s41467-024-55653-5
results	the transient absorption ta spectra	2	2	10.1038/s41467-020-16855-9;10.1038/s41467-025-61085-6
results	as far as we know	2	2	10.1038/s41467-019-09794-7;10.1038/s41467-020-15481-9
results	as shown in the cross-sectional	2	2	10.1038/s41467-024-49838-1;10.1038/s41928-026-01670-9
results	as shown in fig. 1c	2	2	10.1038/s41467-021-24616-5;10.1038/s41467-024-55619-7
results	thus it can be inferred	2	2	10.1038/s41467-026-73911-6;10.1038/s43246-024-00645-7
results	as illustrated in fig. 1a	2	2	10.1038/s41467-019-13909-5;10.1038/s41467-025-63653-2
results	additionally the series resistance of	2	2	10.1038/s41467-024-54160-x;10.1038/s41467-025-58047-3
results	in addition according to the	2	2	10.1038/s41467-023-40746-4;10.1038/s41467-025-64111-9
discussion	as a result the optimized	2	2	10.1038/s41377-025-02019-1;10.1038/s41467-024-49574-6
results	these effects are consistent with	2	2	10.1038/s41467-022-31478-y;10.1038/s41467-025-58471-5
results	as shown in the atomic	2	2	10.1038/s41467-018-05909-8;10.1038/s41467-019-09794-7
results	where vtfl is the trap-filled	2	2	10.1038/s41377-024-01704-x;10.1038/s41377-026-02237-1
results	in contrast the zno nps	2	1	10.1038/s41377-025-01867-1
results	the absorption and pl spectra	2	2	10.1038/s41467-019-13951-3;10.1038/s41467-021-24616-5
results	figure 2a shows the current	2	2	10.1038/s41467-018-07383-8;10.1038/s41467-026-74151-4
